1,0
2,0
3,5
4,0
5,1
6,0
7,5
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,2
16,0
17,1
18,0
19,0
20,0
21,4
22,0
23,6
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,1
38,0
39,3
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,3
49,0
50,4
51,0
52,1
53,0
54,1
55,4
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,2
65,1
66,0
67,0
68,99
69,0
70,0
71,2
72,0
73,3
74,99
75,0
76,0
77,1
78,1
79,0
80,2
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,2
90,1
91,3
92,0
93,4
94,0
95,3
96,0
97,0
98,0
99,0
100,0
101,2
102,1
103,0
104,99
105,0
106,0
107,0
108,0
109,5
110,6
111,99
112,0
113,0
114,6
115,0
116,0
117,99
118,5
119,0
120,0
121,3
122,6
123,3
124,0
125,3
126,0
127,5
128,0
129,6
130,0
131,0
132,3
133,3
134,2
135,5
136,0
137,0
138,0
139,4
140,0
141,2
142,4
143,0
144,99
145,2
146,2
147,2
148,2
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,6
161,0
162,0
163,0
164,0
165,0
166,6
167,0
168,6
169,0
170,3
171,0
172,0
173,1
174,0
175,0
176,3
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,4
187,0
188,0
189,0
190,4
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,3
206,0
207,0
208,1
209,4
210,1
211,0
212,0
213,0
214,0
215,6
216,3
217,0
218,0
219,0
220,3
221,0
222,2
223,0
224,0
225,2
226,4
227,4
228,6
229,3
230,2
231,0
232,6
233,6
234,5
235,0
236,0
237,5
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,4
247,99
248,0
249,0
250,4
251,0
252,0
253,0
254,4
255,6
256,99
257,0
258,0
259,3
260,0
261,0
262,0
263,0
264,4
265,6
266,2
267,0
268,0
269,0
270,0
271,99
272,0
273,4
274,5
275,0
276,4
277,6
278,0
279,4
280,0
281,2
